"Rank","Title","Status","Study Results","Conditions","Interventions","Gender","Age","Phases","Enrollment","Completion Date","Locations","URL"
1,"Retrospective Postoperative ARDS Study at Vanderbilt University","Completed","No Results Available","ARDS",,"All","11 Years and older   (Child, Adult, Older Adult)",,"89","August 2008","Vanderbilt University Medical Center, Nashville, Tennessee, United States","https://ClinicalTrials.gov/show/NCT00656071"
2,"The Relationship Between Positive End Expiratory Pressure and Cardiac Index in Patients With Acute Respiratory Distress Syndrome (ARDS) Managed on a Fluid Protocol","Completed","No Results Available","Acute Respiratory Distress Syndrome (ARDS)",,"All","18 Years and older   (Adult, Older Adult)",,"367","September 2012","Yale University, School of Medicine, Department of Internal Medicine, Section of Pulmonary and Critical Care Medicine, New Haven, Connecticut, United States","https://ClinicalTrials.gov/show/NCT01714583"
3,"Associations Between COVID-19 ARDS Treatment, Clinical Trajectories and Liberation From Mechanical Ventilator - an Analysis of the NorthCARDS Dataset","Completed","No Results Available","ARDS, Human|Covid19","Other: ARDS and COVID19 treatments","All","Child, Adult, Older Adult",,"1800","January 19, 2021","Feinstein Institutes for Medical Research, Manhasset, New York, United States","https://ClinicalTrials.gov/show/NCT04729075"
4,"Assessing the Role of Inclined Positioning in Acute Respiratory Distress Syndrome Patients Recovery","Completed","No Results Available","ARDS, Human","Procedure: upright bed","All","18 Years to 80 Years   (Adult, Older Adult)","Not Applicable","5","January 1, 2022","University of Kentucky, Lexington, Kentucky, United States","https://ClinicalTrials.gov/show/NCT04612608"
5,"Dornase Alfa for ARDS in Patients With Severe Acute Respiratory Syndrome-Coronavirus-2 (SARS-CoV-2)","Completed","Has Results","SARS-CoV 2|ARDS","Drug: Dornase Alfa Inhalation Solution","All","18 Years and older   (Adult, Older Adult)","Phase 3","30","December 31, 2020","University of Missouri Hospital and Clinics, Columbia, Missouri, United States","https://ClinicalTrials.gov/show/NCT04402970"
6,"A Prospective Clinical Study to Explore Response to Prone Positioning in ARDS Patients","Completed","No Results Available","Covid19|ARDS","Other: Lung Ultrasound (LUS)","All","18 Years and older   (Adult, Older Adult)",,"60","January 31, 2022","Rush University Medical Center, Chicago, Illinois, United States","https://ClinicalTrials.gov/show/NCT04692779"
7,"Treprostinil Sodium Inhalation for Patients At High Risk for ARDS","Terminated","Has Results","Respiratory Distress Syndrome, Adult","Drug: Treprostinil Inhalation Solution|Drug: Placebo","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 2","14","November 7, 2017","University of North Carolina Hospitals, Chapel Hill, North Carolina, United States","https://ClinicalTrials.gov/show/NCT02370095"
8,"Electrical Impedance Tomography (EIT) Monitoring in Adults With ALI or ARDS","Completed","Has Results","Acute Lung Injury (ALI)|ARDS","Device: Electrical Impedance Tomography monitoring","All","18 Years and older   (Adult, Older Adult)","Not Applicable","13","March 2011","Christiana Hospital, Newark, Delaware, United States","https://ClinicalTrials.gov/show/NCT01272882"
9,"Viral-Related Neutrophil Response and Condition Severity in People With ARDS","Completed","No Results Available","Respiratory Distress Syndrome, Adult",,"All","18 Years and older   (Adult, Older Adult)",,"132","July 2012","University of Colorado Health Sciences Center, Aurora, Colorado, United States","https://ClinicalTrials.gov/show/NCT00548795"
10,"The Effect of Intravenous Lipids on Lung Function in Acute Respiratory Distress Syndrome (ARDS)","Terminated","Has Results","Acute Respiratory Distress Syndrome","Drug: ClinOleic 20%|Drug: Intralipid 20%","All","18 Years to 90 Years   (Adult, Older Adult)","Phase 2","14","November 2012","Methodist Hospital, Indianapolis, Indiana, United States","https://ClinicalTrials.gov/show/NCT01096771"
11,"Stress Index to Individualize Mechanical Ventilation in ARDS","Terminated","No Results Available","Acute Respiratory Distress Syndrome","Procedure: Recruitment Maneuver with PEEP and Tidal Volume Optimization","All","18 Years and older   (Adult, Older Adult)","Not Applicable","4","December 2017","Vanderbilt University Medical Center, Nashville, Tennessee, United States","https://ClinicalTrials.gov/show/NCT02871102"
12,"ARDS in Children and ECMO Initiation Strategies Impact on Neurodevelopment (ASCEND)","Recruiting","No Results Available","Acute Respiratory Distress Syndrome|Extracorporeal Membrane Oxygenation","Device: ECMO support|Other: PROSpect protocolized therapies","All","14 Days to 17 Years   (Child)",,"550","June 2026","University of Michigan - Mott Children's Hospital, Ann Arbor, Michigan, United States","https://ClinicalTrials.gov/show/NCT05388708"
13,"Mild Hypothermia for COVID-19 ARDS","Withdrawn","No Results Available","COVID19 ARDS","Other: Hypothermia Via Cooling Machine- Arctic Sun 5000","All","18 Years to 100 Years   (Adult, Older Adult)","Not Applicable","0","December 31, 2020","North Shore University Hospital, Manhasset, New York, United States","https://ClinicalTrials.gov/show/NCT04570462"
14,"Trial of Steroids in Pediatric Acute Lung Injury/ARDS","Unknown status","No Results Available","Acute Respiratory Distress Syndrome (ARDS)|Acute Lung Injury (ALI)","Drug: methylprednisolone|Drug: Normal Saline (0.9%)","All","1 Month to 18 Years   (Child, Adult)","Phase 2","100","December 2014","Le Bonheur Children's Hospital, Memphis, Tennessee, United States","https://ClinicalTrials.gov/show/NCT01274260"
15,"Electrical Impedance Tomography for Optimization of Positive End-Expiratory Pressure: Acute Respiratory Distress Syndrome","Completed","No Results Available","Acute Respiratory Distress Syndrome|ARDS","Other: Usual care|Device: PEEP titration by EIT","All","18 Years and older   (Adult, Older Adult)","Not Applicable","16","June 24, 2022","The University of Michigan, Ann Arbor, Michigan, United States","https://ClinicalTrials.gov/show/NCT03793842"
16,"Pilot RCT of Therapeutic Hypothermia Plus Neuromuscular Blockade in COVID-19 Patients With ARDS","Withdrawn","No Results Available","Respiratory Distress Syndrome, Adult|Sars-CoV2","Device: Hypothermia|Drug: Neuromuscular Blocking Agents|Device: Standard of Care","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 2","0","April 27, 2021","University of Maryland Medical Center, Baltimore, Maryland, United States","https://ClinicalTrials.gov/show/NCT03376854"
17,"Prolonged Prone Positioning for COVID-19-induced Acute Respiratory Distress Syndrome (ARDS)","Completed","Has Results","ARDS|Covid19|Acute Hypoxemic Respiratory Failure","Other: Prolonged Proned Positioning|Other: Traditional Proning Arm","All","18 Years to 99 Years   (Adult, Older Adult)","Not Applicable","52","March 20, 2021","University of Alabama at Birmingham, Birmingham, Alabama, United States","https://ClinicalTrials.gov/show/NCT04581811"
18,"A Study of GEn-1124 in Subjects With Acute Respiratory Distress Syndrome (ARDS)","Recruiting","No Results Available","Respiratory Distress Syndrome, Acute","Drug: GEn-1124|Drug: Placebo","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 2","52","July 2024","Ocean Springs Hospital, Ocean Springs, Mississippi, United States","https://ClinicalTrials.gov/show/NCT05795465"
19,"Vadadustat for the Prevention and Treatment of Acute Respiratory Distress Syndrome (ARDS) in Hospitalized Patients With Coronavirus Disease 2019 (COVID-19)","Completed","No Results Available","Acute Respiratory Distress Syndrome|Coronavirus Infection","Drug: vadadustat|Drug: placebo","All","18 Years and older   (Adult, Older Adult)","Phase 2","449","March 7, 2022","The University of Texas Health Science Center at Houston, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT04478071"
20,"ARDSnet Protocol vs. Open Lung Approach in ARDS","Completed","No Results Available","Respiratory Distress Syndrome, Adult","Other: Different Mechanical Ventilation Protocols","All","18 Years to 80 Years   (Adult, Older Adult)","Not Applicable","224","March 2013","Massachusetts General Hospital, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT00431158"
21,"Diaphragm Ultrasound Vs Transpulmonary Pressure To Set PEEP in ARDS","Completed","Has Results","Acute Respiratory Distress Syndrome|Acute Respiratory Failure","Device: Ultrasound","All","18 Years and older   (Adult, Older Adult)","Not Applicable","14","July 2016","Hennepin County Medical Center, Minneapolis, Minnesota, United States","https://ClinicalTrials.gov/show/NCT02463773"
22,"Provider Perceptions of Neuromuscular Blockade in ARDS","Completed","No Results Available","Neuromuscular Blockade|Acute Respiratory Distress Syndrome","Behavioral: Interview","All","18 Years and older   (Adult, Older Adult)",,"35","March 18, 2018","University of Pittburgh Medical Center, Pittsburgh, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT03179709"
23,"Role of Vascular Endothelial Growth Factor (VEGF) in Acute Lung Injury/Adult Respiratory Distress Syndrome (ARDS)","Withdrawn","No Results Available","Respiratory Distress Syndrome, Adult",,"All","18 Years and older   (Adult, Older Adult)",,"0","January 2017","Weill Medical College of Cornell University, New York City, New York, United States","https://ClinicalTrials.gov/show/NCT00319631"
24,"Clinical Decision Support for Mechanical Ventilation of Patients With ARDS","Recruiting","No Results Available","Acute Respiratory Distress Syndrome","Procedure: Implementation of Processes","All","18 Years and older   (Adult, Older Adult)","Not Applicable","350","December 23, 2022","Intermountain Medical Center, Murray, Utah, United States","https://ClinicalTrials.gov/show/NCT03984175"
25,"Safety and Effectiveness of Placental Derived Exosomes and Umbilical Cord Mesenchymal Stem Cells in Moderate to Severe Acute Respiratory Distress Syndrome (ARDS) Associated With the Novel Corona Virus Infection (COVID-19)","Recruiting","No Results Available","COVID-19 Acute Respiratory Distress Syndrome|Respiratory Distress Syndrome","Drug: EV-Pure™ and WJ-Pure™|Drug: Placebo","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 1","20","December 2023","Kit Bartalos, Liberty, Missouri, United States","https://ClinicalTrials.gov/show/NCT05387278"
26,"Effect of Randomization to Neuromuscular Blockade on Physical Functional Impairment and Recovery in ARDS","Unknown status","No Results Available","Acute Respiratory Distress Syndrome|Neuromyopathies",,"All","18 Years and older   (Adult, Older Adult)",,"290","September 2020","University of Washington, Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT03038906"
27,"Estimation of Intrinsic Positive End-Expiratory Pressure (PEEP) in Acute Respiratory Distress Syndrome (ARDS)","Completed","No Results Available","Acute Respiratory Distress Syndrome",,"All","18 Years and older   (Adult, Older Adult)",,"6","April 2007","Thomason Hospital (Now University Medical Center), El Paso, Texas, United States","https://ClinicalTrials.gov/show/NCT00446706"
28,"KL₄Surfactant Treatment in Patients With ARDS","Terminated","Has Results","Acute Respiratory Distress Syndrome","Drug: A.1 Lucinactant|Other: B.3 SoC|Drug: A.2 Lucinactant|Drug: A.3 Lucinactant|Drug: A.4 Lucinactant|Drug: B.1 Lucinactant|Drug: B.2 Lucinactant","All","16 Years to 75 Years   (Child, Adult, Older Adult)","Phase 2","124","February 2006","Discovery Laboratories, Inc., Warrington, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT00215553"
29,"Stellate Ganglion Block (SGB) for COVID-19 Acute Respiratory Distress Syndrome (ARDS)","Completed","No Results Available","Acute Respiratory Distress Syndrome|COVID-19","Procedure: Stellate Ganglion Block","All","18 Years to 80 Years   (Adult, Older Adult)","Not Applicable","5","December 31, 2020","West Virginia University Rockefeller Neuroscience Institute, Morgantown, West Virginia, United States","https://ClinicalTrials.gov/show/NCT04402840"
30,"ARDS Esophageal Balloon Pressure Changes With Positioning Study","Terminated","No Results Available","ARDS|Respiratory Failure","Device: Esophageal balloon catheter","All","18 Years and older   (Adult, Older Adult)",,"2","March 1, 2020","University of North Carolina, Chapel Hill, Chapel Hill, North Carolina, United States","https://ClinicalTrials.gov/show/NCT03120793"
31,"Alveolar Macrophage Programming Following Endotoxin Exposure","Recruiting","No Results Available","ARDS, Human","Other: bronchoscopy with intrabronchial administration of lipopolysaccharide","All","18 Years to 50 Years   (Adult)","Not Applicable","25","March 2024","National Jewish Health, Denver, Colorado, United States","https://ClinicalTrials.gov/show/NCT03859050"
32,"A Strategy to Improve Implementation of LTVV for Patients w/ ARDS","Withdrawn","No Results Available","Acute Respiratory Distress Syndrome","Behavioral: Multi-component LTVV implementation strategy","All","18 Years and older   (Adult, Older Adult)","Not Applicable","0","August 31, 2017","Northwestern University Feinberg School of Medicine, Chicago, Illinois, United States","https://ClinicalTrials.gov/show/NCT03051139"
33,"Efficacy of Bevacizumab in Preventing Acute Respiratory Distress Syndrome (ARDS)","Withdrawn","No Results Available","Severe Sepsis|Acute Respiratory Distress Syndrome","Drug: Bevacizumab|Drug: Placebo","All","18 Years to 99 Years   (Adult, Older Adult)","Phase 2","0","February 2016","Weill Cornell Medical College-New York Presbyterian Hospital, New York, New York, United States","https://ClinicalTrials.gov/show/NCT01314066"
34,"Direct Topical Lung T3 Treatment to Improve Outcome & Sequelae of COVID-19 Acute Respiratory Distress Syndrome","Active, not recruiting","No Results Available","Covid19|SARS-CoV Infection|ARDS|ARDS, Human","Drug: Instilled T3|Other: Placebo Therapy","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 2","250","July 2024","University of Minnesota, Minneapolis, Minnesota, United States","https://ClinicalTrials.gov/show/NCT04725110"
35,"Intermediate-size Expanded Access Program (EAP), Mesenchymal Stromal Cells (MSC) for Acute Respiratory Distress Syndrome (ARDS) Due to COVID-19 Infection","No longer available","No Results Available","Moderate to Severe Acute Respiratory Distress Syndrome Associated With COVID-19","Drug: Remestemcel-L","All","18 Years and older   (Adult, Older Adult)",,,,"Mount Sinai Hospital, New York, New York, United States","https://ClinicalTrials.gov/show/NCT04366830"
36,"Nitric Oxide Administration for Acute Respiratory Distress Syndrome","Completed","Has Results","Acute Respiratory Distress Syndrome","Drug: Nitric Oxide|Other: No Intervention","All","1 Month to 18 Years   (Child, Adult)","Phase 3","52","September 2008","The Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT00240487"
37,"Comparison of Curosurf and Infasurf in the Treatment of Preterm Infants With Respiratory Distress Syndrome","Completed","Has Results","Respiratory Distress Syndrome","Drug: Poractant alfa|Drug: calfactant","All","22 Weeks to 35 Weeks   (Child)","Not Applicable","30","July 2015","University of Missouri, Women's and Children's Hospital, Columbia, Missouri, United States","https://ClinicalTrials.gov/show/NCT02834624"
38,"The ASTERS Study: Assessing the Role of Sphingolipids in AcuTE Respiratory Distress Syndrome (ARDS)","Completed","No Results Available","Acute Lung Injury|Acute Respiratory Distress Syndrome",,"All","18 Years and older   (Adult, Older Adult)",,"8","March 12, 2021","University of Kentucky Chandler Medical Center, Lexington, Kentucky, United States","https://ClinicalTrials.gov/show/NCT03654352"
39,"Relationship of Pulmonary Contusion to Pulmonary Inflammation and Incidence of Acute Respiratory Distress Syndrome","Completed","No Results Available","Pulmonary Contusion|Respiratory Failure|ARDS",,"All","16 Years and older   (Child, Adult, Older Adult)",,"10","March 2015","Wake Forest Baptist Health, Winston-Salem, North Carolina, United States","https://ClinicalTrials.gov/show/NCT02265198"
40,"Adaptive Support Ventilation in Acute Respiratory Distress Syndrome","Completed","No Results Available","Acute Respiratory Distress Syndrome","Other: ASV|Other: Lung Protective Ventilation","All","18 Years and older   (Adult, Older Adult)","Not Applicable","20","January 31, 2021","Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT03715751"
41,"Early PP With HFNC Versus HFNC in COVID-19 Induced Moderate to Severe ARDS","Completed","Has Results","Prone Positioning|High Flow Nasal Cannula|Acute Respiratory Distress Syndrome|Corona Virus Infection","Device: high flow nasal cannula (HFNC)|Procedure: Prone positioning (PP)","All","18 Years and older   (Adult, Older Adult)","Not Applicable","224","February 21, 2021","Rush University Medical Center, Chicago, Illinois, United States","https://ClinicalTrials.gov/show/NCT04325906"
42,"Tregs for the Treatment of Acute Respiratory Distress Syndrome (ARDS) Associated With COVID-19 (regARDS)","Terminated","No Results Available","Acute Respiratory Distress Syndrome Due to Disease Caused by 2019-nCoV","Biological: Cryopreserved Ex Vivo Expanded Polyclonal CD4+CD127lo/-CD25+ T Regulatory Cells","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 1","4","March 2, 2022","University of North Carolina, Chapel Hill, North Carolina, United States|The Ohio State University, Columbus, Ohio, United States","https://ClinicalTrials.gov/show/NCT05027815"
43,"Open Lung Strategy, Gas Distribution and Right Heart Function in ARDS Patients","Recruiting","No Results Available","ARDS, Human|Lung Injury, Acute|Respiratory Distress Syndrome|Mechanical Ventilation Complication|Alveolar Edema|Right Heart Failure|Right Ventricular Dysfunction","Procedure: PEEP ARDSnet|Procedure: PEEP LRM","All","18 Years to 85 Years   (Adult, Older Adult)","Not Applicable","50","August 2024","Massachussets General Hospital, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT03202641"
44,"Defibrotide Therapy for SARS-CoV2 (COVID-19) Acute Respiratory Distress Syndrome (ARDS)","Completed","Has Results","COVID|Sars-CoV2|COVID-19|Acute Respiratory Distress Syndrome","Drug: Defibrotide","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 1","13","April 9, 2021","University of Michigan, Ann Arbor, Michigan, United States","https://ClinicalTrials.gov/show/NCT04530604"
45,"Inhaled Steroids for the Treatment of Early Pediatric Acute Respiratory Distress Syndrome","Terminated","Has Results","Acute Respiratory Distress Syndrome","Drug: Budesonide|Drug: Placebo|Device: Nebulizer","All","30 Days to 18 Years   (Child, Adult)","Phase 2","2","March 30, 2020","The University of Texas Health Science Center at Houston, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT04064684"
46,"High Flow Nasal Cannula in Comparison With Nasal Continuous Positive Airway Pressure in the Management of Respiratory Distress Syndrome","Completed","No Results Available","Respiratory Distress Syndrome","Device: HHHFNC|Device: NCPAP","All","Child, Adult, Older Adult","Not Applicable","60","April 2012","Akron Children's Hospital, Akron, Ohio, United States","https://ClinicalTrials.gov/show/NCT02587832"
47,"Delivery Room Management Trial of Premature Infants at High Risk of Respiratory Distress Syndrome","Completed","Has Results","Respiratory Distress Syndrome, Newborn","Drug: PS Group|Device: NCPAP Group|Drug: ISX Group","All","26 Weeks to 29 Weeks   (Child)","Phase 3","648","June 2011","Vermont Oxford Network, Burlington, Vermont, United States","https://ClinicalTrials.gov/show/NCT00244101"
48,"Early Insulin and Development of ARDS","Completed","Has Results","Respiratory Distress Syndrome, Adult|Sepsis|Hyperglycemia","Drug: Insulin","All","18 Years and older   (Adult, Older Adult)","Phase 2","18","September 2013","Montefiore Medical Center, Bronx, New York, United States","https://ClinicalTrials.gov/show/NCT00605696"
49,"Comparison in Pulmonary Compliance Between Curosurf and Survanta in Preterm Infants With Respiratory Distress Syndrome","Withdrawn","No Results Available","Respiratory Distress Syndrome","Drug: Curosurf®|Drug: Survanta®","All","15 Minutes to 12 Hours   (Child)","Not Applicable","0",,"University of Michigan C & W Mott Children's Hospital, Ann Arbor, Michigan, United States","https://ClinicalTrials.gov/show/NCT01537354"
50,"Molecular Epidemiology of ARDS","Active, not recruiting","No Results Available","Acute Respiratory Distress Syndrome|Lung Diseases",,"All","18 Years to 80 Years   (Adult, Older Adult)",,"4000","December 2023","Massachusetts General Hospital, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT00006496"
51,"Safety of T Regulatory Cell Therapy in Subjects With COVID-19 Induced Acute Respiratory Distress Syndrome","Withdrawn","No Results Available","Acute Respiratory Distress Syndrome|Covid19","Biological: T regulatory cells","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 1","0","September 2022","Stanford University, Stanford, California, United States","https://ClinicalTrials.gov/show/NCT04737161"
52,"Mesenchymal Stem Cells (MSCs) for Treatment of Acute Respiratory Distress Syndrome (ARD) in Patients With Malignancies","Completed","No Results Available","Blood And Marrow Transplantation|Adult Respiratory Distress Syndrome","Biological: Mesenchymal Stem Cells (MSCs)","All","18 Years and older   (Adult, Older Adult)","Phase 1","20","June 13, 2019","University of Texas MD Anderson Cancer Center, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT02804945"
53,"Titration of PEEP During Mechanical Ventilation in Patients With ARDS Using Electrical Impedance Tomography.","Withdrawn","No Results Available","Acute Respiratory Distress Syndrome","Device: Electrical Impedance Tomography","All","2 Years to 35 Years   (Child, Adult)","Not Applicable","0","July 1, 2020","Boston Children's Hospital, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT02596178"
54,"Surfactant Via Endotracheal Tube vs. Laryngeal Mask Airway (LMA) in Preterm Neonates With Respiratory Distress Syndrome","Unknown status","No Results Available","Respiratory Distress Syndrome, Newborn","Device: Endotracheal intubation|Device: Laryngeal mask airway|Drug: remifentanil","All","2 Hours to 48 Hours   (Child)","Phase 4","130","March 2020","Albany Medical Center, Albany, New York, United States","https://ClinicalTrials.gov/show/NCT02164734"
55,"Feasibility Study of Aerosolized Surfaxin in the Prevention of Respiratory Distress Syndrome (RDS) in Premature Infants","Terminated","Has Results","Respiratory Distress Syndrome","Drug: Aerosolized lucinactant","All","15 Minutes to 30 Minutes   (Child)","Phase 2","17","September 2005","University of California, San Diego Medical Center - Hillcrest, San Diego, California, United States","https://ClinicalTrials.gov/show/NCT00807235"
56,"N-Acetyl-cysteine in Early Acute Respiratory Distress Syndrome","Withdrawn","No Results Available","Acute Respiratory Distress Syndrome","Drug: N-acetyl cysteine","All","18 Years and older   (Adult, Older Adult)","Early Phase 1","0","January 30, 2021","Palmetto Health Richland, Columbia, South Carolina, United States","https://ClinicalTrials.gov/show/NCT03346681"
57,"Non-invasive Fluid Management","Unknown status","No Results Available","Respiratory Distress Syndrome, Adult","Other: NICOM-Guided Diuresis|Other: Standard of Care","All","18 Years and older   (Adult, Older Adult)","Not Applicable","100","December 2020","Intermountain Medical Center, Murray, Utah, United States","https://ClinicalTrials.gov/show/NCT02892799"
58,"Treatment of Acute Respiratory Distress Syndrome With Tenecteplase: A Dose Escalation Pilot Study","Withdrawn","No Results Available","Acute Respiratory Distress Syndrome","Drug: Tenecteplase","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 1","0","December 2008","Medical Center of Central GA, Macon, Georgia, United States","https://ClinicalTrials.gov/show/NCT00431379"
59,"Regenerative Medicine for COVID-19 and Flu-Elicited ARDS Using Lomecel-B (RECOVER)","Active, not recruiting","No Results Available","ARDS, Human|Covid19","Biological: Longeveron Mesenchymal Stem Cells (LMSCs)|Other: Placebo","All","18 Years and older   (Adult, Older Adult)","Phase 1","70","July 2025","Miami VA Healthcare System, Miami, Florida, United States|University of Maryland Medical Center, Baltimore, Maryland, United States|Wake Forest Baptist Medical Center, Winston-Salem, North Carolina, United States","https://ClinicalTrials.gov/show/NCT04629105"
