LocationID,Public_Health_Jurisdiction,StateDesc,County,Percent_COPD,95% Confidence Interval,Quartile
01001,AL,Alabama,Autauga,7.5,6.5 - 8.5,7.3 - 8.6
01003,AL,Alabama,Baldwin,6.9,5.9 - 8.0,6.0 - 7.2
01005,AL,Alabama,Barbour,10.7,9.6 - 11.8,8.7 - 15.5
01007,AL,Alabama,Bibb,9.2,8.2 - 10.1,8.7 - 15.5
01009,AL,Alabama,Blount,8.7,7.6 - 9.8,8.7 - 15.5
01011,AL,Alabama,Bullock,9.2,8.2 - 10.1,8.7 - 15.5
01013,AL,Alabama,Butler,9.3,8.3 - 10.3,8.7 - 15.5
01015,AL,Alabama,Calhoun,8.6,7.7 - 9.7,7.3 - 8.6
01017,AL,Alabama,Chambers,8.7,7.8 - 9.7,8.7 - 15.5
01019,AL,Alabama,Cherokee,9.5,8.3 - 10.8,8.7 - 15.5
01021,AL,Alabama,Chilton,9.3,8.2 - 10.4,8.7 - 15.5
01023,AL,Alabama,Choctaw,9.5,8.6 - 10.4,8.7 - 15.5
01025,AL,Alabama,Clarke,9.4,8.5 - 10.3,8.7 - 15.5
01027,AL,Alabama,Clay,10.1,9.0 - 11.3,8.7 - 15.5
01029,AL,Alabama,Cleburne,9.2,7.9 - 10.5,8.7 - 15.5
01031,AL,Alabama,Coffee,7.5,6.6 - 8.6,7.3 - 8.6
01033,AL,Alabama,Colbert,8.2,7.2 - 9.2,7.3 - 8.6
01035,AL,Alabama,Conecuh,9.4,8.5 - 10.3,8.7 - 15.5
01037,AL,Alabama,Coosa,8.8,7.9 - 9.9,8.7 - 15.5
01039,AL,Alabama,Covington,9.2,8.1 - 10.4,8.7 - 15.5
01041,AL,Alabama,Crenshaw,9,8.0 - 10.1,8.7 - 15.5
01043,AL,Alabama,Cullman,8.8,7.6 - 10.2,8.7 - 15.5
01045,AL,Alabama,Dale,8.2,7.3 - 9.2,7.3 - 8.6
01047,AL,Alabama,Dallas,9.4,8.4 - 10.4,8.7 - 15.5
01049,AL,Alabama,DeKalb,10.2,8.9 - 11.5,8.7 - 15.5
01051,AL,Alabama,Elmore,7.4,6.4 - 8.3,7.3 - 8.6
01053,AL,Alabama,Escambia,9.7,8.8 - 10.7,8.7 - 15.5
01055,AL,Alabama,Etowah,8.7,7.6 - 9.8,8.7 - 15.5
01057,AL,Alabama,Fayette,9.6,8.5 - 10.9,8.7 - 15.5
01059,AL,Alabama,Franklin,8.9,7.8 - 10.0,8.7 - 15.5
01061,AL,Alabama,Geneva,9.8,8.6 - 11.1,8.7 - 15.5
01063,AL,Alabama,Greene,11.2,10.1 - 12.3,8.7 - 15.5
01065,AL,Alabama,Hale,9.5,8.6 - 10.4,8.7 - 15.5
01067,AL,Alabama,Henry,8.5,7.4 - 9.6,7.3 - 8.6
01069,AL,Alabama,Houston,8.3,7.3 - 9.4,7.3 - 8.6
01071,AL,Alabama,Jackson,9.7,8.5 - 10.9,8.7 - 15.5
01073,AL,Alabama,Jefferson,7,6.2 - 7.8,6.0 - 7.2
01075,AL,Alabama,Lamar,9.8,8.7 - 11.0,8.7 - 15.5
01077,AL,Alabama,Lauderdale,8,6.9 - 9.1,7.3 - 8.6
01079,AL,Alabama,Lawrence,9.6,8.6 - 10.8,8.7 - 15.5
01081,AL,Alabama,Lee,7.2,6.3 - 8.2,6.0 - 7.2
01083,AL,Alabama,Limestone,7.6,6.5 - 8.7,7.3 - 8.6
01085,AL,Alabama,Lowndes,9.8,8.7 - 11.0,8.7 - 15.5
01087,AL,Alabama,Macon,8.5,7.5 - 9.5,7.3 - 8.6
01089,AL,Alabama,Madison,6.1,5.3 - 7.0,6.0 - 7.2
01091,AL,Alabama,Marengo,9,8.1 - 9.9,8.7 - 15.5
01093,AL,Alabama,Marion,9.6,8.4 - 10.9,8.7 - 15.5
01095,AL,Alabama,Marshall,8.9,7.7 - 10.2,8.7 - 15.5
01097,AL,Alabama,Mobile,8,7.2 - 9.0,7.3 - 8.6
01099,AL,Alabama,Monroe,9.7,8.8 - 10.6,8.7 - 15.5
01101,AL,Alabama,Montgomery,7.2,6.3 - 8.1,6.0 - 7.2
01103,AL,Alabama,Morgan,8,6.9 - 9.1,7.3 - 8.6
01105,AL,Alabama,Perry,10.5,9.3 - 11.7,8.7 - 15.5
01107,AL,Alabama,Pickens,9.1,8.2 - 10.0,8.7 - 15.5
01109,AL,Alabama,Pike,8.3,7.4 - 9.2,7.3 - 8.6
01111,AL,Alabama,Randolph,8.8,7.6 - 9.9,8.7 - 15.5
01113,AL,Alabama,Russell,8.3,7.5 - 9.2,7.3 - 8.6
01115,AL,Alabama,St. Clair,8.3,7.2 - 9.4,7.3 - 8.6
01117,AL,Alabama,Shelby,5.7,4.8 - 6.7,3.2 - 5.9
01119,AL,Alabama,Sumter,9.1,8.1 - 10.1,8.7 - 15.5
01121,AL,Alabama,Talladega,9.3,8.3 - 10.4,8.7 - 15.5
